"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"808","NOT FEELING WELL. IN BED WITH BAD FLU.",FALSE,0,NA,2018-03-05 22:49:17,FALSE,NA,"970793398323073030",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","guiaturismo2",0,FALSE,FALSE,NA,NA
"809","5th day in a row being sick, i hate the stomach flu Ì†ΩÌ∏≠Ì†ΩÌ≤î",FALSE,0,NA,2018-03-05 22:49:05,FALSE,NA,"970793349912322048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_MissyMich",0,FALSE,FALSE,NA,NA
"810","@theactivestick Flu?",FALSE,0,"theactivestick",2018-03-05 22:48:55,FALSE,"970788494510559232","970793307138904065","70560285","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","baltimoredavey",0,FALSE,FALSE,NA,NA
"811","I work better under pressure like Jordan with the flu",FALSE,1,NA,2018-03-05 22:48:52,FALSE,NA,"970793295612801024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InFamousFav",1,FALSE,FALSE,NA,NA
"812","RT @DonaLuciaHexa: Oscar 2018

Melhor fic√ß√£o: Mundial de 51
Melhor efeito especial: 2 Mundiais e 1 Libertadores
Melhor maquiagem: choror√¥ d‚Ä¶",FALSE,0,NA,2018-03-05 22:48:46,FALSE,NA,"970793269193068544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urielnf",104,TRUE,FALSE,NA,NA
"813","RT @marynmck: Imagine we have a bad flu season.  Imagine it comes to the US, and we can‚Äôt get protective masks, because only 5% of the mask‚Ä¶",FALSE,0,NA,2018-03-05 22:48:40,FALSE,NA,"970793242848612352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kimmietainment",242,TRUE,FALSE,NA,NA
"814","This should be reported to the CDC!!! This mic has the flu, pneumonia, strep and hepatitis B and‚Ä¶ https://t.co/TlaCjsd3wB",FALSE,0,NA,2018-03-05 22:48:26,FALSE,NA,"970793187324305409",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","shawnbigby",0,FALSE,FALSE,NA,NA
"815","Full disclosure: I have the stomach flu and have been awake in 20 minute increments today. I'm dreaming this right? https://t.co/tm1llbmPp0",FALSE,19,NA,2018-03-05 22:48:25,FALSE,NA,"970793180588380160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dansinker",3,FALSE,FALSE,NA,NA
"816","Why I believe a killer flu pandemic is just beyond the corner¬† https://t.co/p9shRdB7DP",FALSE,0,NA,2018-03-05 22:48:23,FALSE,NA,"970793171201478658",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","PickPosts",0,FALSE,FALSE,NA,NA
"817","RT @JohnsHopkinsSPH: ""We‚Äôre always setting ourselves up for vaccine mismatch and failures and the like because of the lead time in how long‚Ä¶",FALSE,0,NA,2018-03-05 22:48:19,FALSE,NA,"970793155326021633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marielmohns",12,TRUE,FALSE,NA,NA
"818","Se acabarem com o Samorin ser√° √≥timo, mas n√£o pensem que vamos esquecer dos gastos crescentes com PESSOAL em Xer√©m.‚Ä¶ https://t.co/rraw4xGNZ3",FALSE,49,NA,2018-03-05 22:48:15,TRUE,NA,"970793140000034816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anartam",16,FALSE,FALSE,NA,NA
"819","RT @Education4Libs: There are 30,000 gun-related deaths in the USA each year with 60% of them being suicides. Even with those factored in,‚Ä¶",FALSE,0,NA,2018-03-05 22:48:04,FALSE,NA,"970793091799007233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheTRUKiiiNG",3313,TRUE,FALSE,NA,NA
"820","RT @meFiun: Uzaklara dalmak istiyorum ama miyopluk saƒüolsun 2 metre √∂tesi flu..Ì†ΩÌ∏í",FALSE,0,NA,2018-03-05 22:48:03,FALSE,NA,"970793088842117120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oznurarzuelif2",1,TRUE,FALSE,NA,NA
"821","RT @mrochele: Yes, you can have multiple kinds of flu at once https://t.co/uROTmK3MpV",FALSE,0,NA,2018-03-05 22:47:54,FALSE,NA,"970793049705123840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Flu_Killer",1,TRUE,FALSE,NA,NA
"822","@ncustisTheSun That was largely flu...bollocks.",FALSE,0,"ncustisTheSun",2018-03-05 22:47:51,FALSE,"970784915087388673","970793037868695552","221480910","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanETee80",0,FALSE,FALSE,NA,NA
"823","Revela√ß√£o do Flu, Pedro comemora titularidade e gols no profissional https://t.co/BGjW177NZ2",FALSE,0,NA,2018-03-05 22:47:49,FALSE,NA,"970793029656342533",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","PontoJuridico",0,FALSE,FALSE,NA,NA
"824","@MabhidaMartins This flu has him out of control!",FALSE,0,"MabhidaMartins",2018-03-05 22:47:49,FALSE,"970792568098381824","970793028611923973","198318985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Le_SoM",0,FALSE,FALSE,NA,NA
"825","Do i really have the flu again Ì†ΩÌ∏´",FALSE,0,NA,2018-03-05 22:47:47,FALSE,NA,"970793022198861824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CrosbyAinslee",0,FALSE,FALSE,NA,NA
"826","@mrochele I only catch one strain of the #flu #virus from one infected person. To catch mutilple strain, I guest th‚Ä¶ https://t.co/ihi8cUBaGA",FALSE,0,"mrochele",2018-03-05 22:47:47,TRUE,"970730282004439046","970793020344938497","28823947","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Flu_Killer",0,FALSE,FALSE,NA,NA
"827",".@HSJnews reports: #February was the ""most pressured month"" the #NHS has ever seen, @NHSEngland chief exec Simon St‚Ä¶ https://t.co/nLmSDlEsyp",FALSE,0,NA,2018-03-05 22:47:34,TRUE,NA,"970792966339137536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Susan_Venables",0,FALSE,FALSE,NA,NA
"828","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https‚Ä¶",FALSE,0,NA,2018-03-05 22:47:34,FALSE,NA,"970792966242668544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theylovepreis",81382,TRUE,FALSE,NA,NA
